,BIS_LONG_CPI:M:US:771
1914-01,2.040816
1914-02,1.020408
1914-03,1.020408
1914-04,0.0
1914-05,2.061856
1914-06,1.020408
1914-07,1.010101
1914-08,3.030303
1914-09,2.0
1914-10,1.0
1914-11,0.990099
1914-12,1.0
1915-01,1.0
1915-02,1.010101
1915-03,0.0
1915-04,2.040816
1915-05,2.020202
1915-06,2.020202
1915-07,1.0
1915-08,-0.980392
1915-09,-0.980392
1915-10,0.990099
1915-11,0.980392
1915-12,1.980198
1916-01,2.970297
1916-02,4.0
1916-03,6.060606
1916-04,6.0
1916-05,5.940594
1916-06,6.930693
1916-07,6.930693
1916-08,7.920792
1916-09,9.90099
1916-10,10.784314
1916-11,11.650485
1916-12,12.621359
1917-01,12.5
1917-02,15.384615
1917-03,14.285714
1917-04,18.867925
1917-05,19.626168
1917-06,20.37037
1917-07,18.518519
1917-08,19.266055
1917-09,19.81982
1917-10,19.469027
1917-11,17.391304
1917-12,18.103448
1918-01,19.65812
1918-02,17.5
1918-03,16.666667
1918-04,12.698413
1918-05,13.28125
1918-06,13.076923
1918-07,17.96875
1918-08,18.461538
1918-09,18.045113
1918-10,18.518519
1918-11,20.740741
1918-12,20.437956
1919-01,17.857143
1919-02,14.893617
1919-03,17.142857
1919-04,17.605634
1919-05,16.551724
1919-06,14.965986
1919-07,15.231788
1919-08,14.935065
1919-09,13.375796
1919-10,13.125
1919-11,13.496933
1919-12,14.545455
1920-01,16.969697
1920-02,20.37037
1920-03,20.121951
1920-04,21.556886
1920-05,21.893491
1920-06,23.668639
1920-07,19.54023
1920-08,14.689266
1920-09,12.359551
1920-10,9.944751
1920-11,7.027027
1920-12,2.645503
1921-01,-1.554404
1921-02,-5.641026
1921-03,-7.106599
1921-04,-10.837438
1921-05,-14.07767
1921-06,-15.789474
1921-07,-14.903846
1921-08,-12.807882
1921-09,-12.5
1921-10,-12.060302
1921-11,-12.121212
1921-12,-10.824742
1922-01,-11.052632
1922-02,-8.152174
1922-03,-8.743169
1922-04,-7.734807
1922-05,-5.649718
1922-06,-5.113636
1922-07,-5.084746
1922-08,-6.214689
1922-09,-5.142857
1922-10,-4.571429
1922-11,-3.448276
1922-12,-2.312139
1923-01,-0.591716
1923-02,-0.591716
1923-03,0.598802
1923-04,1.197605
1923-05,1.197605
1923-06,1.796407
1923-07,2.380952
1923-08,3.012048
1923-09,3.614458
1923-10,3.592814
1923-11,2.97619
1923-12,2.366864
1924-01,2.97619
1924-02,2.380952
1924-03,1.785714
1924-04,0.591716
1924-05,0.591716
1924-06,0.0
1924-07,-0.581395
1924-08,-0.584795
1924-09,-0.581395
1924-10,-0.578035
1924-11,-0.578035
1924-12,0.0
1925-01,0.0
1925-02,0.0
1925-03,1.169591
1925-04,1.176471
1925-05,1.764706
1925-06,2.941176
1925-07,3.508772
1925-08,4.117647
1925-09,3.508772
1925-10,2.906977
1925-11,4.651163
1925-12,3.468208
1926-01,3.468208
1926-02,4.069767
1926-03,2.890173
1926-04,4.069767
1926-05,2.890173
1926-06,1.142857
1926-07,-1.129944
1926-08,-1.694915
1926-09,-1.129944
1926-10,-0.564972
1926-11,-1.666667
1926-12,-1.117318
1927-01,-2.234637
1927-02,-2.793296
1927-03,-2.808989
1927-04,-3.351955
1927-05,-2.247191
1927-06,-0.564972
1927-07,-1.142857
1927-08,-1.149425
1927-09,-1.142857
1927-10,-1.136364
1927-11,-2.259887
1927-12,-2.259887
1928-01,-1.142857
1928-02,-1.724138
1928-03,-1.156069
1928-04,-1.156069
1928-05,-1.149425
1928-06,-2.840909
1928-07,-1.156069
1928-08,-0.581395
1928-09,0.0
1928-10,-1.149425
1928-11,-0.578035
1928-12,-1.156069
1929-01,-1.156069
1929-02,0.0
1929-03,-0.584795
1929-04,-1.169591
1929-05,-1.162791
1929-06,0.0
1929-07,1.169591
1929-08,1.169591
1929-09,0.0
1929-10,0.581395
1929-11,0.581395
1929-12,0.584795
1930-01,0.0
1930-02,-0.584795
1930-03,-0.588235
1930-04,0.591716
1930-05,-0.588235
1930-06,-1.754386
1930-07,-4.046243
1930-08,-4.624277
1930-09,-4.046243
1930-10,-4.624277
1930-11,-5.202312
1930-12,-6.395349
1931-01,-7.017544
1931-02,-7.647059
1931-03,-7.692308
1931-04,-8.823529
1931-05,-9.467456
1931-06,-10.119048
1931-07,-9.036145
1931-08,-8.484848
1931-09,-9.638554
1931-10,-9.69697
1931-11,-10.365854
1931-12,-9.31677
1932-01,-10.062893
1932-02,-10.191083
1932-03,-10.25641
1932-04,-10.322581
1932-05,-10.457516
1932-06,-9.933775
1932-07,-9.933775
1932-08,-10.596026
1932-09,-10.666667
1932-10,-10.738255
1932-11,-10.204082
1932-12,-10.273973
1933-01,-9.79021
1933-02,-9.929078
1933-03,-10.0
1933-04,-9.352518
1933-05,-8.029197
1933-06,-6.617647
1933-07,-3.676471
1933-08,-2.222222
1933-09,-1.492537
1933-10,-0.75188
1933-11,0.0
1933-12,0.763359
1934-01,2.325581
1934-02,4.724409
1934-03,5.555556
1934-04,5.555556
1934-05,5.555556
1934-06,5.511811
1934-07,2.290076
1934-08,1.515152
1934-09,3.030303
1934-10,2.272727
1934-11,2.272727
1934-12,1.515152
1935-01,3.030303
1935-02,3.007519
1935-03,3.007519
1935-04,3.759398
1935-05,3.759398
1935-06,2.238806
1935-07,2.238806
1935-08,2.238806
1935-09,0.735294
1935-10,1.481481
1935-11,2.222222
1935-12,2.985075
1936-01,1.470588
1936-02,0.729927
1936-03,0.0
1936-04,-0.724638
1936-05,-0.724638
1936-06,0.729927
